Pick,Player,NFL Team,Position,Salary,FF Team
103,Zack Moss ,Buf ,RB,9,MyTeamIsAHenryHunter
104,A.J. Green ,Ari ,WR,9,Literally Duggtrio
105,Phillip Lindsay ,Hou ,RB,5,The Bleach Boys
106,Tyler Higbee ,LAR ,TE,10,He's...getting NEWD!
107,DK Metcalf ,Sea ,WR,9,CatchAll-19
108,Jonnu Smith ,NE ,TE,3,What Year is it?
109,Kareem Hunt ,Cle ,RB,10,The Bleach Boys
110,Diontae Johnson ,Pit ,WR,6,Rudy’s Pulitzer
111,Ronald Jones II ,TB ,RB,5,Literally Duggtrio
112,James White ,NE ,RB,7,DAD POWER
113,Jordan Howard ,Phi ,RB,4,He's...getting NEWD!
114,Matt Ryan ,Atl ,QB,5,LeJizz LeRoux
115,Tyler Boyd ,Cin ,WR,7,The Bleach Boys
116,Benny Snell Jr ,Pit ,RB,1,Put em in Goedert
117,Michael Gallup ,Dal ,WR,8,FreshPrinceOfHelaire
118,David Montgomery ,Chi ,RB,7,LeJizz LeRoux
119,Will Fuller V ,Mia ,WR,6,FreshPrinceOfHelaire
120,Marquise Brown ,Bal ,WR,7,What Year is it?
121,Austin Hooper ,Cle ,TE,3,Asynchronicity
122,Jared Cook ,LAC ,TE,2,Rudy’s Pulitzer
123,Matt Breida ,Buf ,RB,3,DAD POWER
124,Philadelphia ,Phi ,DEF,1,He's...getting NEWD!
125,Marvin Jones Jr ,Jax ,WR,6,CatchAll-19
126,Chase Edmonds ,Ari ,RB,1,Rudy’s Pulitzer
127,T.J. Hockenson ,Det ,TE,1,LeJizz LeRoux
128,DeVante Parker ,Mia ,WR,6,LeJizz LeRoux
129,Christian Kirk ,Ari ,WR,2,Blowvid-19
130,J.K. Dobbins ,Bal ,RB,6,What Year is it?
131,Chris Thompson ,Jax ,RB,1,The Bleach Boys
132,Sony Michel ,NE ,RB,3,What Year is it?
133,Tarik Cohen ,Chi ,RB,6,Literally Duggtrio
134,Tony Pollard ,Dal ,RB,1,Asynchronicity
135,Ben Roethlisberger ,Pit ,QB,2,FreshPrinceOfHelaire
136,Baker Mayfield ,Cle ,QB,2,Asynchronicity
137,Jared Goff ,Det ,QB,1,He's...getting NEWD!
138,Joey Slye ,Car ,K,1,Literally Duggtrio
139,Sterling Shepard ,NYG ,WR,2,FreshPrinceOfHelaire
140,Brandin Cooks ,Hou ,WR,3,What Year is it?
141,Hayden Hurst ,Atl ,TE,2,FreshPrinceOfHelaire
142,Noah Fant ,Den ,TE,2,What Year is it?
143,Kerryon Johnson ,Phi ,RB,2,The Bleach Boys
144,Parris Campbell ,Ind ,WR,4,What Year is it?
145,CeeDee Lamb ,Dal ,WR,2,FreshPrinceOfHelaire
146,Tevin Coleman ,NYJ ,RB,2,He's...getting NEWD!
147,Emmanuel Sanders ,Buf ,WR,1,Blowvid-19
148,Jamison Crowder ,NYJ ,WR,1,DAD POWER
149,Deebo Samuel ,SF ,WR,1,He's...getting NEWD!
150,Allen Lazard ,GB ,WR,2,Blowvid-19
151,Marlon Mack ,Ind ,RB,1,Rudy’s Pulitzer
152,Latavius Murray ,NO ,RB,2,FreshPrinceOfHelaire
153,Ryan Succop ,TB ,K,1,FreshPrinceOfHelaire
154,Dallas Goedert ,Phi ,TE,1,Put em in Goedert
155,DeSean Jackson ,LAR ,WR,1,CatchAll-19
156,Devonta Freeman ,NO ,RB,1,MMMMy Corona
157,Alexander Mattison ,Min ,RB,2,Rudy’s Pulitzer
158,Frank Gore ,NYJ ,RB,1,Blowvid-19
159,Larry Fitzgerald ,Ari ,WR,1,DAD POWER
160,Darrell Henderson Jr ,LAR ,RB,5,He's...getting NEWD!
161,Ryan Tannehill ,Ten ,QB,1,Literally Duggtrio
162,Anthony Miller ,Hou ,WR,1,LeJizz LeRoux
163,Darrel Williams ,KC ,RB,1,FreshPrinceOfHelaire
164,John Brown ,LV ,WR,1,Put em in Goedert
165,Tampa Bay ,TB ,DEF,1,CatchAll-19
166,Ryan Fitzpatrick ,Was ,QB,1,MMMMy Corona
167,Boston Scott ,Phi ,RB,1,Asynchronicity
168,Kirk Cousins ,Min ,QB,1,Blowvid-19
169,Ryquell Armstead ,NYG ,RB,1,DAD POWER
170,Carlos Hyde ,Jax ,RB,1,LeJizz LeRoux
171,Los Angeles ,LAC ,DEF,1,FreshPrinceOfHelaire
172,Duke Johnson ,Hou ,RB,1,Put em in Goedert
173,Mike Gesicki ,Mia ,TE,1,CatchAll-19
174,Adrian Peterson ,Det ,RB,1,MMMMy Corona
175,Nyheim Hines ,Ind ,RB,1,Asynchronicity
176,Jamaal Williams ,Det ,RB,1,LeJizz LeRoux
177,Mike Williams ,LAC ,WR,1,Put em in Goedert
178,Ke'Shawn Vaughn ,TB ,RB,1,MMMMy Corona
179,Blake Jarwin ,Dal ,TE,1,Put em in Goedert
180,Golden Tate ,NYG ,WR,1,MMMMy Corona
181,Jimmy Garoppolo ,SF ,QB,1,Put em in Goedert
182,Malcolm Brown ,Mia ,RB,1,MMMMy Corona
