position,player,bye,points_year,points_week,vorp,max_bid,tier
RB,Christian McCaffrey,13,317.73,19.858125,9.626875000000002,86.64187500000001,1
RB,Saquon Barkley,11,282.92,17.6825,7.451250000000002,67.06125000000002,1
RB,Dalvin Cook,7,271.15,16.946875,6.715624999999999,60.440625,1
RB,Ezekiel Elliott,10,270.03999999999996,16.877499999999998,6.646249999999998,59.81624999999998,1
RB,Alvin Kamara,6,256.09999999999997,16.006249999999998,5.774999999999999,51.97499999999999,1
RB,Derrick Henry,7,247.18,15.44875,5.217500000000001,46.95750000000001,2
RB,Clyde Edwards-Helaire,10,236.27,14.766875,4.535625000000001,40.820625000000014,2
RB,Josh Jacobs,6,235.07999999999998,14.692499999999999,4.46125,40.15125,2
RB,Miles Sanders,9,228.22,14.26375,4.032500000000001,36.292500000000004,2
RB,Joe Mixon,9,228,14.25,4.018750000000001,36.16875,2
RB,Austin Ekeler,10,227.7,14.23125,4,36,2
RB,Kenyan Drake,8,225.20999999999998,14.075624999999999,3.8443749999999994,34.599374999999995,2
RB,Nick Chubb,9,224.86999999999998,14.054374999999999,3.823124999999999,34.40812499999999,2
RB,Aaron Jones,5,222.89000000000001,13.930625000000001,3.6993750000000016,33.29437500000002,2
RB,James Conner,8,222.6,13.9125,3.6812500000000004,33.13125,2
RB,Todd Gurley,10,218.96999999999997,13.685624999999998,3.454374999999999,31.08937499999999,2
RB,Chris Carson,6,215.13,13.445625,3.2143750000000004,28.929375000000004,2
RB,David Johnson,8,203.43000000000004,12.714375000000002,2.483125000000003,22.348125000000024,3
RB,Le’Veon Bell,11,197.85000000000002,12.365625000000001,2.134375000000002,19.20937500000002,3
RB,Mark Ingram,8,197.01999999999998,12.313749999999999,2.0824999999999996,18.742499999999996,3
RB,Raheem Mostert,11,193.21999999999997,12.076249999999998,1.8449999999999989,16.60499999999999,3
RB,Cam Akers,9,190.47000000000003,11.904375000000002,1.6731250000000024,15.058125000000022,3
RB,Melvin Gordon,8,187.66000000000003,11.728750000000002,1.4975000000000023,13.47750000000002,3
RB,Jonathan Taylor,7,180.25,11.265625,1.0343750000000007,9.309375000000006,4
RB,David Montgomery,11,172.36999999999998,10.773124999999999,0.5418749999999992,4.876874999999993,4
RB,Kareem Hunt,9,166.05,10.378125,0.14687500000000142,1.3218750000000128,5
RB,Leonard Fournette,13,161.45000000000002,10.090625000000001,-0.14062499999999822,1,5
RB,Devin Singletary,11,160.39,10.024375,-0.20687500000000014,1,5
RB,Antonio Gibson,8,157.22,9.82625,-0.40499999999999936,1,5
RB,Phillip Lindsay,8,156.46,9.77875,-0.4524999999999988,1,5
RB,Jordan Howard,11,137.52,8.595,-1.6362499999999986,1,6
RB,James White,6,137.31,8.581875,-1.6493749999999991,1,6
RB,Zack Moss,11,135.10999999999999,8.444374999999999,-1.7868750000000002,1,6
RB,Boston Scott,9,135.07,8.441875,-1.7893749999999997,1,6
RB,D’Andre Swift,5,134.84,8.4275,-1.803749999999999,1,6
RB,Tevin Coleman,11,134.67000000000002,8.416875000000001,-1.8143749999999983,1,6
RB,Tarik Cohen,11,134.44,8.4025,-1.8287499999999994,1,6
RB,Matt Breida,11,133.95,8.371875,-1.859375,1,6
RB,Marlon Mack,7,130.71999999999997,8.169999999999998,-2.061250000000001,1,6
RB,Chris Thompson,7,130.71,8.169375,-2.061874999999999,1,6
RB,J.K. Dobbins,8,129.89000000000001,8.118125000000001,-2.1131249999999984,1,6
RB,Latavius Murray,6,129.8,8.1125,-2.1187499999999986,1,6
RB,Bryce Love,8,122.56,7.66,-2.571249999999999,1,7
RB,Adrian Peterson,5,122.52,7.6575,-2.5737499999999995,1,7
RB,Ronald Jones,13,120.73000000000002,7.545625000000001,-2.685624999999998,1,7
RB,Darrell Henderson,9,116.25,7.265625,-2.9656249999999993,1,7
RB,Sony Michel,6,114.4,7.15,-3.081249999999999,1,7
RB,Damien Harris,6,112.21,7.013125,-3.2181249999999997,1,7
RB,Darrel Williams,10,111.71000000000001,6.9818750000000005,-3.249374999999999,1,7
RB,Chase Edmonds,8,109.19,6.824375,-3.4068749999999994,1,7
RB,Duke Johnson,8,109.05999999999999,6.816249999999999,-3.415,1,7
RB,Kerryon Johnson,5,108.69999999999999,6.793749999999999,-3.4375,1,7
RB,Justin Jackson,10,104.72,6.545,-3.6862499999999994,1,8
RB,Joshua Kelley,10,103.82999999999998,6.489374999999999,-3.7418750000000003,1,8
RB,Alexander Mattison,7,99.07000000000001,6.1918750000000005,-4.039374999999999,1,8
RB,James Robinson,7,98.86999999999999,6.179374999999999,-4.051875,1,8
RB,Nyheim Hines,7,98.51,6.156875,-4.074374999999999,1,8
RB,Peyton Barber,8,98.44,6.1525,-4.078749999999999,1,8
RB,Tony Pollard,10,98.22999999999999,6.139374999999999,-4.091875,1,8
RB,Darrynton Evans,7,92.64,5.79,-4.441249999999999,1,8
RB,Anthony McFarland,8,87.33,5.458125,-4.773124999999999,1,8
RB,Devine Ozigbo,7,86.82000000000001,5.4262500000000005,-4.804999999999999,1,8
RB,A.J. Dillon,5,85.7,5.35625,-4.874999999999999,1,8
RB,Ryquell Armstead,7,76.66999999999999,4.791874999999999,-5.439375,1,9
RB,Rex Burkhead,6,76.13,4.758125,-5.473125,1,9
RB,Malcolm Brown,9,75.94999999999999,4.746874999999999,-5.484375,1,9
RB,Jalen Richard,6,75.86000000000001,4.741250000000001,-5.489999999999998,1,9
RB,LeSean McCoy,13,75.72,4.7325,-5.498749999999999,1,9
RB,Frank Gore,11,75.25999999999999,4.703749999999999,-5.5275,1,9
RB,Carlos Hyde,6,72.06,4.50375,-5.727499999999999,1,9
RB,DeeJay Dallas,6,69.83000000000001,4.364375000000001,-5.8668749999999985,1,9
RB,Benny Snell,8,69.03999999999999,4.3149999999999995,-5.91625,1,9
RB,Giovani Bernard,9,67.23,4.201875,-6.029374999999999,1,9
RB,Jerick McKinnon,11,66.13,4.133125,-6.098125,1,9
RB,Jamaal Williams,5,63.199999999999996,3.9499999999999997,-6.28125,1,9
RB,Brian Hill,10,59.32,3.7075,-6.52375,1,10
RB,Devontae Booker,6,56.370000000000005,3.5231250000000003,-6.708124999999999,1,10
RB,Ito Smith,10,56.04999999999999,3.5031249999999994,-6.728125,1,10
RB,La’Mical Perine,11,55.629999999999995,3.4768749999999997,-6.754375,1,10
RB,Dion Lewis,11,54.72,3.42,-6.811249999999999,1,10
RB,Rashaad Penny,6,50.09,3.130625,-7.100624999999999,1,10
RB,J.D. McKissic,8,48.76,3.0475,-7.18375,1,10
RB,Patrick Laird,11,45.06999999999999,2.8168749999999996,-7.414375,1,10
RB,Lynn Bowden,11,44.69,2.793125,-7.438124999999999,1,10
RB,Darwin Thompson,10,43.08,2.6925,-7.538749999999999,1,10
RB,Jaylen Samuels,8,42.48,2.655,-7.57625,1,10
RB,Ke’Shawn Vaughn,13,38.8,2.425,-7.8062499999999995,1,11
RB,Gus Edwards,8,37.379999999999995,2.3362499999999997,-7.895,1,11
RB,Mike Davis,13,36.980000000000004,2.3112500000000002,-7.919999999999999,1,11
RB,Eno Benjamin,8,35.910000000000004,2.2443750000000002,-7.9868749999999995,1,11
RB,Royce Freeman,8,33.980000000000004,2.1237500000000002,-8.107499999999998,1,11
RB,Justice Hill,8,30.439999999999998,1.9024999999999999,-8.32875,1,11
RB,Mike Boone,7,28.74,1.79625,-8.434999999999999,1,11
RB,Wayne Gallman,11,26.470000000000002,1.6543750000000002,-8.576875,1,11
RB,Corey Clement,9,26.2,1.6375,-8.59375,1,11
RB,C.J. Ham,7,24.1,1.50625,-8.725,1,11
RB,Bo Scarbrough,5,23.580000000000002,1.4737500000000001,-8.757499999999999,1,11
RB,Jeff Wilson,11,23.220000000000002,1.4512500000000002,-8.78,1,11
RB,D’Ernest Johnson,9,21.720000000000002,1.3575000000000002,-8.87375,1,11
RB,Qadree Ollison,10,18.26,1.14125,-9.09,1,12
RB,Ryan Nall,11,18.25,1.140625,-9.090625,1,12
RB,Trenton Cannon,13,17.080000000000002,1.0675000000000001,-9.163749999999999,1,12
RB,Ty Montgomery,6,17.04,1.065,-9.16625,1,12
RB,T.J. Yeldon,11,16.060000000000002,1.0037500000000001,-9.2275,1,12
RB,Jordan Wilkins,7,13.959999999999999,0.8724999999999999,-9.358749999999999,1,12
RB,Buddy Howell,8,12.559999999999999,0.7849999999999999,-9.44625,1,12
RB,Trayveon Williams,9,12.54,0.78375,-9.4475,1,12
RB,Khari Blasingame,7,10.91,0.681875,-9.549375,1,12
RB,Jamize Olawale,10,8.19,0.511875,-9.719375,1,12
RB,Tyler Ervin,5,8.16,0.51,-9.72125,1,12
RB,Alex Armah,13,6.760000000000001,0.42250000000000004,-9.80875,1,12
RB,Trenton Cannon,11,6.490000000000001,0.40562500000000007,-9.825624999999999,1,12
RB,Taiwan Jones,11,5.75,0.359375,-9.871875,1,12
