position,player,bye,points_year,points_week,vorp,max_bid,tier
DEF,49ers,0,157.6,9.85,3.1812499999999986,28.631249999999987,1
DEF,Steelers,0,157.4,9.8375,3.1687499999999993,28.518749999999994,1
DEF,Ravens,0,129.7,8.10625,1.4374999999999982,12.937499999999984,2
DEF,Buccaneers,0,115.3,7.20625,0.5374999999999988,4.837499999999989,3
DEF,Rams,0,115.1,7.19375,0.5249999999999986,4.724999999999987,3
DEF,Vikings,0,113.69999999999999,7.106249999999999,0.4374999999999982,3.937499999999984,3
DEF,Bills,0,113.2,7.075,0.4062499999999991,3.656249999999992,3
DEF,Saints,0,112.69999999999999,7.043749999999999,0.3749999999999982,3.374999999999984,3
DEF,Colts,0,111.5,6.96875,0.29999999999999893,2.6999999999999904,3
DEF,Eagles,0,111.00000000000001,6.937500000000001,0.2687499999999998,2.4187499999999984,3
DEF,Patriots,0,110.00000000000001,6.875000000000001,0.20624999999999982,1.8562499999999984,3
DEF,Cardinals,0,109.5,6.84375,0.17499999999999893,1.5749999999999904,3
DEF,Cowboys,0,108.79999999999998,6.799999999999999,0.13124999999999787,1.1812499999999808,3
DEF,Bears,0,106.8,6.675,0.0062499999999987566,1,4
DEF,Footballs,0,106.70000000000002,6.668750000000001,0,1,4
DEF,Seahawks,0,106.10000000000001,6.6312500000000005,-0.03750000000000053,1,4
DEF,Chiefs,0,105.20000000000002,6.575000000000001,-0.09375,1,4
DEF,Browns,0,104.8,6.55,-0.11875000000000124,1,4
DEF,Texans,0,104.5,6.53125,-0.13750000000000107,1,4
DEF,Jets,0,102.9,6.43125,-0.2375000000000007,1,4
DEF,Lions,0,102.69999999999999,6.418749999999999,-0.2500000000000018,1,4
DEF,Broncos,0,102.39999999999999,6.3999999999999995,-0.2687500000000016,1,4
DEF,Bengals,0,99.1,6.19375,-0.4750000000000014,1,5
DEF,Jaguars,0,98.69999999999999,6.168749999999999,-0.5000000000000018,1,5
DEF,Packers,0,98.5,6.15625,-0.5125000000000011,1,5
DEF,Titans,0,95.70000000000002,5.981250000000001,-0.6875,1,5
DEF,Raiders,0,94.8,5.925,-0.7437500000000012,1,5
DEF,Falcons,0,93.7,5.85625,-0.8125000000000009,1,5
DEF,Chargers,0,89.3,5.58125,-1.0875000000000012,1,5
DEF,Panthers,0,67.4,4.2125,-2.4562500000000007,1,6
DEF,Giants,0,64.5,4.03125,-2.637500000000001,1,6
DEF,Dolphins,0,63.400000000000006,3.9625000000000004,-2.7062500000000007,1,6
